siteID,amt,mtcq,ap,pwq,ts,ps,ele,ele_SD,incli,cd,fe,nlut,agri,ah,N,mt,ndep,T,H,L,PSR,BSR
282,-4.8,-5.25,6.2325,2.57,-2.0839999999999996,-2.3,11.005,1.460840249623671,4.863063063063064,0.5,-5,-2.6666666666666665,-5,-0.34234234234234295,-9.86111111111111,-2.5,-0.7947,-22.17391304347826,-1.8309859154929597,11.21621621621622,-6.339745962155613,-2.550510257216822
283,-0.225,-1.375,2.275,1.2,-0.24399999999999977,-0.2,1.95,-0.47947971838220665,0.9307692307692307,2,-1.0549459166519017,1.3333333333333333,2.3076923076923066,1.5192307692307694,-1.1904761904761907,-0.15151515151515138,0.20929999999999999,-5.346320346320348,-1.686991869918697,-0.5511811023622037,1.1864140562386467,2.3484692283495345
284,1.15,-0.25,0.86,-0.44,0.1479999999999997,-0.2,-0.81,-0.8938020889060876,1.6622641509433962,2,1.0303953170617632,0,0.18867924528301855,1.8113207547169807,1.586206896551725,0.86387434554974,1.4186,-1.3786764705882337,-0.017605633802815213,-3.384879725085912,2.349351572897472,-0.2041684766872809
285,1.85,0.25,0.525,-0.38,0.6259999999999994,1,-2.4425,-1.3379638259300486,0.21320754716981122,2,0.5599282782712925,0,-2.547169811320755,1.7169811320754718,3.6363636363636376,1.6878980891719753,1.5956,0.6102362204724399,0.29296875,-3.264150943396227,1.4620776331543297,-1.2583426132260587
286,1.9,0.25,0.12,-1.16,0.6899999999999995,0.4,-2.66,-0.44829641781895135,0.8203389830508474,2,-2.5138755410511884,-2,-3.3516483516483517,2,3.0716723549488067,0.49707602339181367,1.0808,0.22887323943661997,-0.08680555555555358,-3.3673469387755084,2.2916164657905824,0.19615242270663202
287,1.725,0.15,0.75,-0.01,0.5039999999999996,1,-1.9825,-1.5674082949861403,-0.8111111111111111,0,-2.803647300031837,1.3333333333333333,-1.7592592592592595,-3.0925925925925926,3.93258426966292,1.3924050632911378,0.9945,1.0919540229885039,-0.5343511450381699,-1.777777777777776,1.7032930884900672,-1
288,2.025,0.375,0.135,-0.97,0.8439999999999994,0.8,-2.745,-1.754128148824209,-1.3443478260869566,2,-2.4628767963528158,-0.6666666666666666,2.1304347826086953,1.5652173913043483,3.9453125,2.5,0.9007000000000002,0.5776892430278879,-0.37698412698412564,-2.4031007751937983,1.3095064303000896,-0.2041684766872809
289,2.1,0.4,0.175,-0.72,0.9380000000000006,1.4,-2.63,-1.8771308701946636,-1.5346938775510204,1.5,-3.071893636975736,1,0.8163265306122447,-1.1632653061224487,2.9962546816479385,2.3184357541899425,1.5254,1.2896825396825395,-1.3320463320463327,0.42750929368029933,1.7032930884900672,-1.127016653792583
290,1.8,0.05,0.485,-0.14,1.0589999999999993,1.6,-2.0825,-1.6209282660459865,-0.6636363636363637,1,1.4645919499436586,0,-0.4545454545454547,1.8181818181818188,3.583333333333334,2.142857142857144,2.8753,-1.2715517241379315,2.4893617021276615,-5.165975103734439,0.7480157480236223,-0.41742430504416017
291,1.65,0.025,-0.27,-2.13,0.6159999999999997,-0.4,-2.125,-1.7772360939185712,-1.1475728155339806,2,-4.24629996111362,1.6666666666666667,-0.04854368932038824,-0.8155339805825236,3.8009049773755654,3.695652173913042,0.8663000000000001,1.5311004784688986,-1.7289719626168232,-0.11210762331838708,0.32970971675589134,-0.30958424017657027
